date,location,type,class
3/27/2023, Bgry. Kalaklan - Coral St. - Nabaculao - Hiway from Church of Christ to Bo. Barretto ,OEDC,Private
3/28/2023, Bo. Barretto ,OEDC,Private
3/28/2023, Portion of Manggahan Rizal Ext.,OEDC,Private
4/3/2023, Brgy. New Asinan ,OEDC,Private
4/3/2023, Brgy. Pag-Asa ,OEDC,Private
4/3/2023, Brgy. New Kalalake ,OEDC,Private
4/3/2023, Brgy. East Tapinac ,OEDC,Private
4/3/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
4/3/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
4/3/2023,Kalaklan Ridge ,OEDC,Private
4/4/2023, Bo. Barretto ,OEDC,Private
4/4/2023, Manggahan St.,OEDC,Private
4/4/2023, Mahogani St.,OEDC,Private
4/4/2023, Rizal Ext.,OEDC,Private
4/7/2023, Old Cabalan ,OEDC,Private
4/7/2023, Apitong St.,OEDC,Private
4/13/2023, Old Cabalan ,OEDC,Private
4/13/2023, Apitong St.,OEDC,Private
4/13/2023, New Cabalan,OEDC,Private
4/13/2023, Saturn St.,OEDC,Private
4/16/2023, New Cabalan,OEDC,Private
4/16/2023, Saturn St.,OEDC,Private
4/17/2023, Old Cabalan ,OEDC,Private
4/17/2023, Portion of  Bennet Road,OEDC,Private
4/24/2023, Old Cabalan ,OEDC,Private
4/24/2023, National Highway Corner Apitong St.,OEDC,Private
5/1/2023, Old Cabalan ,OEDC,Private
5/1/2023, National Highway Corner Apitong St.,OEDC,Private
5/4/2023, Old Cabalan ,OEDC,Private
5/4/2023, National Highway Corner Apitong St.,OEDC,Private
5/7/2023, Old Cabalan ,OEDC,Private
5/7/2023, National Highway Corner Apitong St.,OEDC,Private
5/7/2023, 14th St.) ,OEDC,Private
5/7/2023, Portion of East Tapinac (Hansen St.,OEDC,Private
5/9/2023, Bo. Barretto ,OEDC,Private
5/9/2023, Portion of Rizal St. and Banaba St.,OEDC,Private
5/11/2023, Bo. Barretto ,OEDC,Private
5/11/2023, Portion of Rizal St. and Banaba St.,OEDC,Private
5/16/2023, Highway from Church of Christ to Bo. Barretto Whole of Bo. Barretto ,OEDC,Private
5/16/2023, Nagbaculao ,OEDC,Private
5/16/2023, Coral St. ,OEDC,Private
5/16/2023,  Bgry. Kalaklan ,OEDC,Private
5/21/2023, Highway from Church of Christ to Bo. Barretto Whole of Bo. Barretto ,OEDC,Private
5/21/2023, Nagbaculao ,OEDC,Private
5/21/2023, Coral St. ,OEDC,Private
5/21/2023,  Bgry. Kalaklan ,OEDC,Private
5/21/2023, Whole of Bo. Barretto ,OEDC,Private
5/21/2023,  Portion of Kalaklan from NGCP going to Barretto,OEDC,Private
5/25/2023, Brgy. New Asinan  Line crew,OEDC,Private
5/25/2023, Brgy. Pag-Asa ,OEDC,Private
5/25/2023, Brgy. New Kalalake ,OEDC,Private
5/25/2023, Brgy. East Tapinac ,OEDC,Private
5/25/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
5/25/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
5/25/2023, Kalaklan Ridge ,OEDC,Private
5/30/2023, Brgy. New Asinan  Line crew,OEDC,Private
5/30/2023, Brgy. Pag-Asa ,OEDC,Private
5/30/2023, Brgy. New Kalalake ,OEDC,Private
5/30/2023, Brgy. East Tapinac ,OEDC,Private
5/30/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
5/30/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
5/30/2023, Kalaklan Ridge ,OEDC,Private
6/2/2023, Portion of Otero Avenue ,OEDC,Private
6/2/2023, Bennet Road ,OEDC,Private
6/2/2023, Brgy. Sta. Rita  - Except Dominguez Street ,OEDC,Private
6/4/2023,asa ,OEDC,Private
6/4/2023, Portion of Barangay Pag,OEDC,Private
6/5/2023,asa ,OEDC,Private
6/5/2023, Portion of Barangay Pag,OEDC,Private
6/9/2023, Sta. Rita .,OEDC,Private
6/9/2023, Dominguez St.,OEDC,Private
6/9/2023, portion of Santolan Street and portion of Mabolo Street Sta. Rita ,OEDC,Private
6/9/2023, Avocado Extension,OEDC,Private
6/9/2023, Manggahan Street,OEDC,Private
6/10/2023, portion of Santolan Street and portion of Mabolo Street Sta. Rita ,OEDC,Private
6/10/2023, Avocado Extension,OEDC,Private
6/10/2023, Manggahan Street,OEDC,Private
6/11/2023, portion of Santolan Street and portion of Mabolo Street Sta. Rita ,OEDC,Private
6/11/2023, Avocado Extension,OEDC,Private
6/11/2023, Manggahan Street,OEDC,Private
6/12/2023, portion of Santolan Street and portion of Mabolo Street Sta. Rita ,OEDC,Private
6/12/2023, Avocado Extension,OEDC,Private
6/12/2023, Manggahan Street,OEDC,Private
6/15/2023, portion of Santolan Street and portion of Mabolo Street Sta. Rita ,OEDC,Private
6/15/2023, Avocado Extension,OEDC,Private
6/15/2023, Manggahan Street,OEDC,Private
6/19/2023,. Bo. Barretto ,OEDC,Private
6/19/2023, Abra St.,OEDC,Private
6/21/2023,Bajac ,OEDC,Private
6/21/2023, Portion of Brgy. Mabayuan and Portion of Brgy. East Bajac,OEDC,Private
6/22/2023, Barretto,OEDC,Private
6/22/2023, Rosal Street,OEDC,Private
6/29/2023, Brgy. New Asinan ,OEDC,Private
6/29/2023, Brgy. Pag-Asa ,OEDC,Private
6/29/2023, Brgy. New Kalalake ,OEDC,Private
6/29/2023, Brgy. East Tapinac ,OEDC,Private
6/29/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
6/29/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
6/29/2023, Kalaklan Ridge ,OEDC,Private
7/2/2023, New Cabalan,OEDC,Private
7/2/2023, Portion of Iram,OEDC,Private
7/3/2023, Portion of Otero Avenue ,OEDC,Private
7/3/2023, Bennet Road ,OEDC,Private
7/3/2023, Brgy. Sta. Rita  - Except Dominguez Street ,OEDC,Private
7/3/2023, Bo. Barretto,OEDC,Private
7/3/2023, Rizal Ext. Manggahan St.,OEDC,Private
7/8/2023, Bo. Barretto,OEDC,Private
7/8/2023, Rizal Ext. Manggahan St.,OEDC,Private
7/8/2023, Bo. Barretto,OEDC,Private
7/8/2023, Rizal Ext. Manggahan St.,OEDC,Private
7/8/2023, Bo. Barretto,OEDC,Private
7/8/2023, Rizal Ext. Manggahan St.,OEDC,Private
7/13/2023,bajac ,OEDC,Private
7/13/2023,Bajac and Whole of East Bajac,OEDC,Private
7/13/2023, Portion of West Bajac,OEDC,Private
7/13/2023, Brgy. New Asinan,OEDC,Private
7/13/2023, Brgy. Pag-Asa ,OEDC,Private
7/13/2023, Brgy. New Kalalake ,OEDC,Private
7/13/2023, Brgy. East Tapinac ,OEDC,Private
7/13/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
7/13/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
7/13/2023, Kalaklan Ridge ,OEDC,Private
7/15/2023, Brgy. New Asinan,OEDC,Private
7/15/2023, Brgy. Pag-Asa ,OEDC,Private
7/15/2023, Brgy. New Kalalake ,OEDC,Private
7/15/2023, Brgy. East Tapinac ,OEDC,Private
7/15/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
7/15/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
7/15/2023, Kalaklan Ridge ,OEDC,Private
7/15/2023, Globe and potion of Kalaklan Ridge. ,OEDC,Private
7/15/2023, ABS-CBN,OEDC,Private
7/15/2023, GMA-7,OEDC,Private
7/15/2023, Liberty,OEDC,Private
7/19/2023, Globe and potion of Kalaklan Ridge. ,OEDC,Private
7/19/2023, ABS-CBN,OEDC,Private
7/19/2023, GMA-7,OEDC,Private
7/19/2023, Liberty,OEDC,Private
7/20/2023, Globe and potion of Kalaklan Ridge. ,OEDC,Private
7/20/2023, ABS-CBN,OEDC,Private
7/20/2023, GMA-7,OEDC,Private
7/20/2023, Liberty,OEDC,Private
7/22/2023,bajac ,OEDC,Private
7/22/2023, Portion of East Bajac,OEDC,Private
7/23/2023,bajac ,OEDC,Private
7/23/2023, Portion of East Bajac,OEDC,Private
7/26/2023, Brgy. New Asinan ,OEDC,Private
7/26/2023, Brgy. Pag-Asa ,OEDC,Private
7/26/2023, Brgy. New Kalalake ,OEDC,Private
7/26/2023, Brgy. East Tapinac ,OEDC,Private
7/26/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
7/26/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
7/26/2023, Kalaklan Ridge ,OEDC,Private
7/27/2023, Brgy. New Asinan ,OEDC,Private
7/27/2023, Brgy. Pag-Asa ,OEDC,Private
7/27/2023, Brgy. New Kalalake ,OEDC,Private
7/27/2023, Brgy. East Tapinac ,OEDC,Private
7/27/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
7/27/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
7/27/2023, Kalaklan Ridge ,OEDC,Private
7/27/2023,bajac ,OEDC,Private
7/27/2023, Caron ST corner 20th St West Bajac,OEDC,Private
7/27/2023,bajac ,OEDC,Private
7/27/2023, Caron ST corner 20th St West Bajac,OEDC,Private
7/28/2023, Portion of Otero Avenue ,OEDC,Private
7/28/2023, Bennet Road ,OEDC,Private
7/28/2023, Brgy. Sta. Rita  - Except Dominguez Street ,OEDC,Private
7/28/2023, Portion of Otero Avenue ,OEDC,Private
7/28/2023, Bennet Road ,OEDC,Private
7/28/2023, Brgy. Sta. Rita  - Except Dominguez Street ,OEDC,Private
7/28/2023, Brgy. West Bajac-Bajac ,OEDC,Private
7/28/2023, Brgy. East Bajac-Bajac ,OEDC,Private
7/28/2023,Brgy. Mabayuan ,OEDC,Private
7/29/2023, Brgy. West Bajac-Bajac ,OEDC,Private
7/29/2023, Brgy. East Bajac-Bajac ,OEDC,Private
7/29/2023,Brgy. Mabayuan ,OEDC,Private
7/29/2023,Portion of Otero Ave. ,OEDC,Private
7/29/2023,Brgy. Old Cabalan (Bennet Road) ,OEDC,Private
7/29/2023,Brgy. Sta. Rita  ,OEDC,Private
7/29/2023,Brgy. West Bajac-Bajac ,OEDC,Private
7/29/2023,Brgy. East Bajac- Bajac ,OEDC,Private
7/29/2023, Brgy. Gordon Heights  ,OEDC,Private
7/29/2023,Brgy. Mabayuan ,OEDC,Private
7/29/2023,Portion of Otero Ave. ,OEDC,Private
7/29/2023,Brgy. Old Cabalan (Bennet Road) ,OEDC,Private
7/29/2023,Brgy. Sta. Rita  ,OEDC,Private
7/29/2023,Brgy. West Bajac-Bajac ,OEDC,Private
7/29/2023,Brgy. East Bajac- Bajac ,OEDC,Private
7/29/2023, Brgy. Gordon Heights  ,OEDC,Private
7/29/2023,Brgy. Mabayuan ,OEDC,Private
7/31/2023, Barretto. ,OEDC,Private
7/31/2023, Portion of Burgos Street and Solis Street,OEDC,Private
7/31/2023, Brgy. New Asinan ,OEDC,Private
7/31/2023, Brgy. Pag-Asa ,OEDC,Private
7/31/2023, Brgy. New Kalalake ,OEDC,Private
7/31/2023, Brgy. East Tapinac ,OEDC,Private
7/31/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
7/31/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
7/31/2023, Kalaklan Ridge ,OEDC,Private
8/3/2023,Kalaklan Cemetery to Church of Christ ,OEDC,Private
8/3/2023,Kalaklan Cemetery to Church of Christ ,OEDC,Private
8/5/2023,Kalaklan Cemetery to Church of Christ ,OEDC,Private
8/7/2023,Balic Elementary School Sta. Rita ,OEDC,Private
8/7/2023, Along Balic,OEDC,Private
8/10/2023,asa ,OEDC,Private
8/10/2023, Portion of Gladiola Street Brgy. Pag,OEDC,Private
8/11/2023,Bajac,OEDC,Private
8/11/2023, Portion of 25th Street Brgy. East Bajac,OEDC,Private
8/12/2023, Bgry. Kalaklan - Coral St. - Nagbaculao - Highway from Church of Christ to Bo. Barretto  Whole,OEDC,Private
8/14/2023, Bgry. Kalaklan - Coral St. - Nagbaculao - Highway from Church of Christ to Bo. Barretto  Whole,OEDC,Private
8/15/2023,bajac,OEDC,Private
8/15/2023, Portion of West Bajac,OEDC,Private
8/15/2023,bajac,OEDC,Private
8/15/2023, Portion of West Bajac,OEDC,Private
8/15/2023,bajac,OEDC,Private
8/15/2023, Portion of West Bajac,OEDC,Private
8/19/2023,bajac,OEDC,Private
8/19/2023, Portion of West Bajac,OEDC,Private
8/20/2023,bajac,OEDC,Private
8/20/2023, Portion of West Bajac,OEDC,Private
8/25/2023,6 New Cabalan.  Line crew,OEDC,Private
8/25/2023, P,OEDC,Private
8/26/2023,6 New Cabalan.  Line crew,OEDC,Private
8/26/2023, P,OEDC,Private
8/26/2023, 10th St Perimeter Brgy Pag-asa ,OEDC,Private
8/26/2023, Natividad St,OEDC,Private
8/26/2023, Portion of Murphy St,OEDC,Private
8/26/2023, Bonifacio Ext,OEDC,Private
8/26/2023, Bonifacio St.,OEDC,Private
8/26/2023, Mercury St and Eliseo Tala St New Cabalan ,OEDC,Private
8/26/2023, Venus St,OEDC,Private
8/26/2023, Jupiter St,OEDC,Private
8/27/2023, Gordon Heights ,OEDC,Private
8/27/2023, Rimas St.,OEDC,Private
8/29/2023, Xerophyte St. ,OEDC,Private
8/29/2023,Waling St. ,OEDC,Private
8/29/2023, Waling,OEDC,Private
8/29/2023, Verbena St. ,OEDC,Private
8/29/2023, Portion of Gordon Heights ,OEDC,Private
8/30/2023, New Cabalan ,OEDC,Private
8/30/2023, Portion of Iram,OEDC,Private
8/31/2023, New Cabalan ,OEDC,Private
8/31/2023, Portion of Iram,OEDC,Private
9/3/2023, New Cabalan ,OEDC,Private
9/3/2023, Portion of Iram,OEDC,Private
9/5/2023, New Cabalan ,OEDC,Private
9/5/2023, Portion of Iram,OEDC,Private
9/15/2023, New Cabalan ,OEDC,Private
9/15/2023, Portion of Iram,OEDC,Private
9/15/2023, New Cabalan ,OEDC,Private
9/15/2023, Portion of Iram,OEDC,Private
9/21/2023, New Cabalan ,OEDC,Private
9/21/2023, Portion of Iram,OEDC,Private
9/23/2023, Brgy. West Bajac-Bajac  Line crew,OEDC,Private
9/23/2023, Brgy. East Bajac-Bajac ,OEDC,Private
9/23/2023, Brgy. Mabayuan ,OEDC,Private
9/23/2023, New Cabalan ,OEDC,Private
9/23/2023, Landfill Area,OEDC,Private
9/24/2023, New Cabalan,OEDC,Private
9/24/2023, Jasmin Street Iram,OEDC,Private
9/25/2023, New Cabalan ,OEDC,Private
9/25/2023, Portion of Tagumpay St.,OEDC,Private
10/2/2023, Portion of Otero Avenue ,OEDC,Private
10/2/2023, Bennet Road  ,OEDC,Private
10/2/2023, Brgy. Sta. Rita   ,OEDC,Private
10/6/2023, Crusher,OEDC,Private
10/6/2023, Sta. Rita  • Portion of Bennet Road,OEDC,Private
10/6/2023, Tabacuhan,OEDC,Private
10/6/2023,  • Portion of Hulo,OEDC,Private
10/9/2023, Sta. Rita  ,OEDC,Private
10/9/2023, Portion of Dahlia St corner Amapola St.,OEDC,Private
10/10/2023, New Cabalan ,OEDC,Private
10/10/2023, Landfill,OEDC,Private
10/10/2023, Tagumpay St.,OEDC,Private
10/17/2023, New Cabalan ,OEDC,Private
10/17/2023, Landfill,OEDC,Private
10/17/2023, Tagumpay St.,OEDC,Private
10/20/2023, Barretto and Columban Barretto ,OEDC,Private
10/20/2023, Jasmin St. corner Rizal St.,OEDC,Private
10/24/2023, Mahogany Street,OEDC,Private
10/24/2023, Rizal Extension ,OEDC,Private
10/24/2023,  Portion of Brgy. Barretto ,OEDC,Private
10/25/2023, Old Cabalan ,OEDC,Private
10/25/2023, Mulawin lane.,OEDC,Private
10/29/2023, Old Cabalan ,OEDC,Private
10/29/2023, Mulawin lane.,OEDC,Private
10/30/2023, Old Cabalan ,OEDC,Private
10/30/2023, Mulawin lane.,OEDC,Private
11/3/2023, Old Cabalan ,OEDC,Private
11/3/2023, Villa Miranda,OEDC,Private
11/4/2023,bajac ,OEDC,Private
11/4/2023, 24th corner Elicano St. Little Baguio East Bajac,OEDC,Private
11/6/2023, portion of Bacon St. and portion of Donor St. East Tapinac,OEDC,Private
11/6/2023, 13th corner 14th St,OEDC,Private
11/6/2023, portion of Bacon St. and portion of Donor St. East Tapinac,OEDC,Private
11/6/2023, 13th corner 14th St,OEDC,Private
11/8/2023, East Tapinac ,OEDC,Private
11/8/2023, Portion of Magsaysay Drive and Gallagher St.,OEDC,Private
11/15/2023, East Tapinac ,OEDC,Private
11/15/2023, Portion of Magsaysay Drive and Gallagher St.,OEDC,Private
11/19/2023, Kalaklan ,OEDC,Private
11/19/2023, Portion of Coral St.,OEDC,Private
11/19/2023, Old Cabalan. ,OEDC,Private
11/19/2023, Portion of Apitong Street,OEDC,Private
11/24/2023, Barretto ,OEDC,Private
11/24/2023, Along #47 Nat'l Hi-Way,OEDC,Private
12/2/2023, Gordon Heights ,OEDC,Private
12/2/2023, Along Waterdam Road,OEDC,Private
12/8/2023,asa ,OEDC,Private
12/8/2023, Along Gordon Avenue Brgy. Pag,OEDC,Private
12/14/2023, Whole of Brgy. Gordon Heights - Except Cleopatra Street - Except Osmundson Street ,OEDC,Private
12/14/2023, Brgy. Mabayuan - Mercurio St.  ,OEDC,Private
12/16/2023, Gordon Heights ,OEDC,Private
12/16/2023, Portion of Ruano St.,OEDC,Private
12/17/2023, West Bajac-Bajac ,OEDC,Private
12/17/2023, Portion of Anonas St.,OEDC,Private
12/17/2023, West Bajac-Bajac ,OEDC,Private
12/17/2023, Portion of Caron St.,OEDC,Private
12/24/2023, Portion Brgy. Banicain - 1st street - Abille Street - Basa Street - Gil Street ,OEDC,Private
12/24/2023, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. - SM City Downtown  ,OEDC,Private
12/24/2023, James L. Gordon Hospital  ,OEDC,Private
12/24/2023, RM Mall ,OEDC,Private
12/24/2023, YBC Mall ,OEDC,Private
12/24/2023, Columban College ,OEDC,Private
12/24/2023, Columban Alley ,OEDC,Private
12/24/2023, Fendler St. ,OEDC,Private
12/24/2023, East 1st St. ,OEDC,Private
12/24/2023, East 3rd St. ,OEDC,Private
12/24/2023, Portion of Rizal Ave. ,OEDC,Private
12/24/2023, Magsaysay Drive ,OEDC,Private
12/24/2023, Portion of West Tapinac - Portion of Foster St.  ,OEDC,Private
12/24/2023, Brgy. Kalaklan ,OEDC,Private
12/26/2023, Brgy. New Asinan ,OEDC,Private
12/26/2023, Brgy. Pag-Asa ,OEDC,Private
12/26/2023, Brgy. New Kalalake ,OEDC,Private
12/26/2023, Brgy. East Tapinac ,OEDC,Private
12/26/2023, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
12/26/2023, Bgry. Kalaklan - CBMU St. ,OEDC,Private
12/26/2023, Kalaklan Ridge ,OEDC,Private
12/31/2023, Gordon Heights  ,OEDC,Private
12/31/2023, Portion of Balite St.,OEDC,Private
1/7/2024,Bajac,OEDC,Private
1/7/2024, 18th St. corner Canda St. East Bajac,OEDC,Private
1/9/2024, Little St. ,OEDC,Private
1/9/2024, Gordon St. ,OEDC,Private
1/9/2024, 1st St. ,OEDC,Private
1/9/2024,  Portion of Brgy. Banicain. ,OEDC,Private
1/21/2024, Rosal St. and Columban College Bo. Barretto ,OEDC,Private
1/21/2024, Santan St.,OEDC,Private
1/21/2024, Camia St.,OEDC,Private
1/21/2024, whole of  Jasmin St.,OEDC,Private
1/21/2024, Portion of Rizal St.,OEDC,Private
1/26/2024,Pacheco St. ,OEDC,Private
1/26/2024,Woodhouse St.  ,OEDC,Private
1/26/2024,Sander St.  ,OEDC,Private
1/29/2024, Brgy. New Asinan ,OEDC,Private
1/29/2024, Brgy. Pag-Asa ,OEDC,Private
1/29/2024, Brgy. New Kalalake ,OEDC,Private
1/29/2024, Brgy. East Tapinac ,OEDC,Private
1/29/2024, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
1/29/2024, Bgry. Kalaklan - CBMU St. ,OEDC,Private
1/29/2024, Kalaklan Ridge ,OEDC,Private
2/11/2024, Gordon Heights ,OEDC,Private
2/11/2024, Portion of Woodhouse Street,OEDC,Private
2/13/2023, West Bajac-Bajac ,OEDC,Private
2/13/2023, Portion of Anonas St.,OEDC,Private
2/21/2024, New Cabalan (near Christian School),OEDC,Private
2/21/2024,  Purok-5 National Hi-way,OEDC,Private
2/22/2024, New Cabalan (near Christian School) ,OEDC,Private
2/22/2024,  Purok-5 National Hi-way,OEDC,Private
2/23/2023, Norton St and Portion of 14th St New Kalalake ,OEDC,Private
2/23/2023, Murphy St,OEDC,Private
2/25/2024, Norton St and Portion of 14th St New Kalalake ,OEDC,Private
2/25/2024, Murphy St,OEDC,Private
3/2/2024, Old Cabalan ,OEDC,Private
3/2/2024, Portion of Purok 8,OEDC,Private
3/4/2024, New Kalalake ,OEDC,Private
3/4/2024, Portion of Norton St.,OEDC,Private
3/8/2024, West Tapinac ,OEDC,Private
3/8/2024, near WBT,OEDC,Private
3/8/2024, Portion of Rizal Ave.,OEDC,Private
3/13/2024, Sta. Rita ,OEDC,Private
3/13/2024, Brgy,OEDC,Private
3/13/2024, Portion of Dominguez Street,OEDC,Private
3/14/2024, Portion of Old Cabalan and Portion of Rizal Avenue.,OEDC,Private
3/14/2024, Whole of New Cabalan,OEDC,Private
3/14/2024, Sta. Rita. ,OEDC,Private
3/14/2024, Brgy,OEDC,Private
3/14/2024, Clark Street,OEDC,Private
3/16/2024, Sta. Rita,OEDC,Private
3/16/2024, Portion Holy Spirit Tabacuhan,OEDC,Private
3/17/2024, Portion Brgy. Banicain - 1st street - Abille Street - Basa Street - Gil Street ,OEDC,Private
3/17/2024, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. - SM City Downtown ,OEDC,Private
3/17/2024, James L. Gordon Hospital ,OEDC,Private
3/17/2024, RM Mall ,OEDC,Private
3/17/2024, YBC Mall ,OEDC,Private
3/17/2024, Columban College ,OEDC,Private
3/17/2024, Columban Alley ,OEDC,Private
3/17/2024, Fendler St. ,OEDC,Private
3/17/2024, East 1st St. ,OEDC,Private
3/17/2024, East 3rd St. ,OEDC,Private
3/17/2024, Portion of Rizal Ave. ,OEDC,Private
3/17/2024, Magsaysay Drive ,OEDC,Private
3/17/2024, Portion of West Tapinac - Portion of Foster St. ,OEDC,Private
3/17/2024, Brgy. Kalaklan ,OEDC,Private
3/17/2024, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. ,OEDC,Private
3/17/2024, James L. Gordon Hospital ,OEDC,Private
3/17/2024, RM Mall ,OEDC,Private
3/17/2024, YBC Mall ,OEDC,Private
3/17/2024, Columban College ,OEDC,Private
3/17/2024, Columban Alley ,OEDC,Private
3/17/2024, Fendler St. ,OEDC,Private
3/17/2024, East 1st St. ,OEDC,Private
3/17/2024, East 3rd St. ,OEDC,Private
3/17/2024, Portion of Rizal Ave. ,OEDC,Private
3/17/2024, Magsaysay Drive ,OEDC,Private
3/17/2024, Portion of West Tapinac - Portion of Foster St. ,OEDC,Private
3/17/2024, Brgy. Kalaklan ,OEDC,Private
3/17/2024, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. ,OEDC,Private
3/17/2024, James L. Gordon Hospital ,OEDC,Private
3/17/2024, RM Mall ,OEDC,Private
3/17/2024, YBC Mall ,OEDC,Private
3/17/2024, Columban College ,OEDC,Private
3/17/2024, Columban Alley ,OEDC,Private
3/17/2024, Fendler St. ,OEDC,Private
3/17/2024, East 1st St. ,OEDC,Private
3/17/2024, East 3rd St. ,OEDC,Private
3/17/2024, Portion of Rizal Ave. ,OEDC,Private
3/17/2024, Magsaysay Drive ,OEDC,Private
3/17/2024, Portion of West Tapinac - Portion of Foster St. ,OEDC,Private
3/17/2024, Brgy. Kalaklan ,OEDC,Private
3/19/2024, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. ,OEDC,Private
3/19/2024, James L. Gordon Hospital ,OEDC,Private
3/19/2024, RM Mall ,OEDC,Private
3/19/2024, YBC Mall ,OEDC,Private
3/19/2024, Columban College ,OEDC,Private
3/19/2024, Columban Alley ,OEDC,Private
3/19/2024, Fendler St. ,OEDC,Private
3/19/2024, East 1st St. ,OEDC,Private
3/19/2024, East 3rd St. ,OEDC,Private
3/19/2024, Portion of Rizal Ave. ,OEDC,Private
3/19/2024, Magsaysay Drive ,OEDC,Private
3/19/2024, Portion of West Tapinac - Portion of Foster St. ,OEDC,Private
3/19/2024, Brgy. Kalaklan ,OEDC,Private
3/25/2024, Portion of East Tapinac  - Portion of Hansen St. - Portion of Gallagher St. - East 6th St. ,OEDC,Private
3/25/2024, James L. Gordon Hospital ,OEDC,Private
3/25/2024, RM Mall ,OEDC,Private
3/25/2024, YBC Mall ,OEDC,Private
3/25/2024, Columban College ,OEDC,Private
3/25/2024, Columban Alley ,OEDC,Private
3/25/2024, Fendler St. ,OEDC,Private
3/25/2024, East 1st St. ,OEDC,Private
3/25/2024, East 3rd St. ,OEDC,Private
3/25/2024, Portion of Rizal Ave. ,OEDC,Private
3/25/2024, Magsaysay Drive ,OEDC,Private
3/25/2024, Portion of West Tapinac - Portion of Foster St. ,OEDC,Private
3/25/2024, Brgy. Kalaklan ,OEDC,Private
3/27/2024, portion of 25th and 26th St. East bajac-bajac,OEDC,Private
3/27/2024, portion of Elicano St.,OEDC,Private
3/27/2024, portion of Little Baguio,OEDC,Private
3/27/2024, 27th St.,OEDC,Private
3/27/2024, 26th St.,OEDC,Private
3/27/2024, portion of 25th and 26th St. East bajac-bajac,OEDC,Private
3/27/2024, portion of Elicano St.,OEDC,Private
3/27/2024, portion of Little Baguio,OEDC,Private
3/27/2024, 27th St.,OEDC,Private
3/27/2024, 26th St.,OEDC,Private
4/1/2024, Brgy. New Asinan ,OEDC,Private
4/1/2024, Brgy. Pag-Asa ,OEDC,Private
4/1/2024, Brgy. New Kalalake ,OEDC,Private
4/1/2024, Brgy. East Tapinac ,OEDC,Private
4/1/2024, Portion of Brgy. West Tapinac - Portion of Esteban St. - 14th St. - Portion of Corpuz St. ,OEDC,Private
4/1/2024, Bgry. Kalaklan - CBMU St. ,OEDC,Private
4/1/2024, Kalaklan Ridge ,OEDC,Private
9/18/2021, Samon,PANELCO3,Public
9/18/2021, Pilar,PANELCO3,Public
9/18/2021, Cauplasan,PANELCO3,Public
9/18/2021,  B. STA. MARIA - Brgys. Cal-litang,PANELCO3,Public
9/18/2021, San Miguel,PANELCO3,Public
9/18/2021, San Macario Sur,PANELCO3,Public
9/18/2021, San Macario Norte,PANELCO3,Public
9/18/2021, Calapugan,PANELCO3,Public
9/18/2021,A. NATIVIDAD - Brgys. Cacandungan (Sitio San Jose),PANELCO3,Public
9/18/2021, Bato & Pao) : CANCELLED,PANELCO3,Public
9/18/2021, Narra and San Vicente (except Sitios An-anonas,PANELCO3,Public
9/18/2021, Flores,PANELCO3,Public
9/18/2021, Cabacaraan,PANELCO3,Public
9/18/2021,  C. SAN MANUEL - Brgys. Arzadon,PANELCO3,Public
9/18/2021, part of Brgy. Bugayong,PANELCO3,Public
9/18/2021, Vacante,PANELCO3,Public
9/18/2021, Sta. Maria,PANELCO3,Public
9/18/2021, Dumayat,PANELCO3,Public
